DataYear,EnrollDistrictID,ResidentDistrictID,EnrollingDistrictNumber,EnrollingDistrictType,EnrollingDistrict,CountofOpenEnrolled,ResidentDistrictNumber,ResidentDistrictType,ResidentDistrict
16-17,0477-01-000,0727-01-000,0477,01,PRINCETON PUBLIC SCHOOL DISTRICT   ,4.0,0727,01,BIG LAKE PUBLIC SCHOOL DISTRICT    
16-17,0477-01-000,0728-01-000,0477,01,PRINCETON PUBLIC SCHOOL DISTRICT   ,37.0,0728,01,ELK RIVER PUBLIC SCHOOL DISTRICT   
16-17,0477-01-000,0750-01-000,0477,01,PRINCETON PUBLIC SCHOOL DISTRICT   ,2.0,0750,01,ROCORI PUBLIC SCHOOL DISTRICT      
16-17,0477-01-000,0881-01-000,0477,01,PRINCETON PUBLIC SCHOOL DISTRICT   ,2.0,0881,01,MAPLE LAKE PUBLIC SCHOOL DISTRICT  
16-17,0477-01-000,0885-01-000,0477,01,PRINCETON PUBLIC SCHOOL DISTRICT   ,1.0,0885,01,ST. MICHAEL-ALBERTVILLE SCHOOL DIST
16-17,0477-01-000,0911-01-000,0477,01,PRINCETON PUBLIC SCHOOL DISTRICT   ,27.0,0911,01,CAMBRIDGE-ISANTI PUBLIC SCHOOL DIST
16-17,0477-01-000,0912-01-000,0477,01,PRINCETON PUBLIC SCHOOL DISTRICT   ,115.0,0912,01,MILACA PUBLIC SCHOOL DISTRICT      
16-17,0477-01-000,2687-01-000,0477,01,PRINCETON PUBLIC SCHOOL DISTRICT   ,2.0,2687,01,HOWARD LAKE-WAVERLY-WINSTED        
16-17,0480-01-000,0001-01-000,0480,01,ONAMIA PUBLIC SCHOOL DISTRICT      ,2.0,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      
16-17,0480-01-000,0181-01-000,0480,01,ONAMIA PUBLIC SCHOOL DISTRICT      ,16.0,0181,01,BRAINERD PUBLIC SCHOOL DISTRICT    
16-17,0480-01-000,0332-01-000,0480,01,ONAMIA PUBLIC SCHOOL DISTRICT      ,1.0,0332,01,MORA PUBLIC SCHOOL DISTRICT        
16-17,0480-01-000,0473-01-000,0480,01,ONAMIA PUBLIC SCHOOL DISTRICT      ,34.0,0473,01,ISLE PUBLIC SCHOOL DISTRICT        
16-17,0480-01-000,0484-01-000,0480,01,ONAMIA PUBLIC SCHOOL DISTRICT      ,5.0,0484,01,PIERZ PUBLIC SCHOOL DISTRICT       
16-17,0480-01-000,0728-01-000,0480,01,ONAMIA PUBLIC SCHOOL DISTRICT      ,1.0,0728,01,ELK RIVER PUBLIC SCHOOL DISTRICT   
16-17,0480-01-000,0742-01-000,0480,01,ONAMIA PUBLIC SCHOOL DISTRICT      ,1.0,0742,01,ST. CLOUD PUBLIC SCHOOL DISTRICT   
16-17,0480-01-000,0912-01-000,0480,01,ONAMIA PUBLIC SCHOOL DISTRICT      ,3.0,0912,01,MILACA PUBLIC SCHOOL DISTRICT      
16-17,0480-01-000,2165-01-000,0480,01,ONAMIA PUBLIC SCHOOL DISTRICT      ,2.0,2165,01,HINCKLEY-FINLAYSON SCHOOL DISTRICT 
16-17,0482-01-000,0047-01-000,0482,01,LITTLE FALLS PUBLIC SCHOOL DISTRICT,1.0,0047,01,SAUK RAPIDS-RICE PUBLIC SCHOOLS    
16-17,0482-01-000,0094-01-000,0482,01,LITTLE FALLS PUBLIC SCHOOL DISTRICT,1.0,0094,01,CLOQUET PUBLIC SCHOOL DISTRICT     
16-17,0482-01-000,0116-01-000,0482,01,LITTLE FALLS PUBLIC SCHOOL DISTRICT,7.0,0116,01,PILLAGER PUBLIC SCHOOL DISTRICT    
16-17,0482-01-000,0181-01-000,0482,01,LITTLE FALLS PUBLIC SCHOOL DISTRICT,13.0,0181,01,BRAINERD PUBLIC SCHOOL DISTRICT    
16-17,0482-01-000,0484-01-000,0482,01,LITTLE FALLS PUBLIC SCHOOL DISTRICT,17.0,0484,01,PIERZ PUBLIC SCHOOL DISTRICT       
16-17,0482-01-000,0485-01-000,0482,01,LITTLE FALLS PUBLIC SCHOOL DISTRICT,29.0,0485,01,ROYALTON PUBLIC SCHOOL DISTRICT    
16-17,0482-01-000,0486-01-000,0482,01,LITTLE FALLS PUBLIC SCHOOL DISTRICT,18.0,0486,01,SWANVILLE PUBLIC SCHOOL DISTRICT   
16-17,0482-01-000,0738-01-000,0482,01,LITTLE FALLS PUBLIC SCHOOL DISTRICT,1.0,0738,01,HOLDINGFORD PUBLIC SCHOOL DISTRICT 
16-17,0482-01-000,0742-01-000,0482,01,LITTLE FALLS PUBLIC SCHOOL DISTRICT,1.0,0742,01,ST. CLOUD PUBLIC SCHOOL DISTRICT   
16-17,0482-01-000,0745-01-000,0482,01,LITTLE FALLS PUBLIC SCHOOL DISTRICT,1.0,0745,01,ALBANY PUBLIC SCHOOL DISTRICT      
16-17,0482-01-000,0787-01-000,0482,01,LITTLE FALLS PUBLIC SCHOOL DISTRICT,4.0,0787,01,BROWERVILLE PUBLIC SCHOOL DISTRICT 
16-17,0482-01-000,0818-01-000,0482,01,LITTLE FALLS PUBLIC SCHOOL DISTRICT,1.0,0818,01,VERNDALE PUBLIC SCHOOL DISTRICT    
16-17,0482-01-000,2170-01-000,0482,01,LITTLE FALLS PUBLIC SCHOOL DISTRICT,8.0,2170,01,STAPLES-MOTLEY SCHOOL DISTRICT     
16-17,0482-01-000,2364-01-000,0482,01,LITTLE FALLS PUBLIC SCHOOL DISTRICT,1.0,2364,01,BELGRADE-BROOTEN-ELROSA SCHOOL DIST
16-17,0482-01-000,2753-01-000,0482,01,LITTLE FALLS PUBLIC SCHOOL DISTRICT,3.0,2753,01,LONG PRAIRIE-GREY EAGLE SCHOOL DIST
16-17,0484-01-000,0047-01-000,0484,01,PIERZ PUBLIC SCHOOL DISTRICT       ,6.0,0047,01,SAUK RAPIDS-RICE PUBLIC SCHOOLS    
16-17,0484-01-000,0051-01-000,0484,01,PIERZ PUBLIC SCHOOL DISTRICT       ,15.0,0051,01,FOLEY PUBLIC SCHOOL DISTRICT       
16-17,0484-01-000,0181-01-000,0484,01,PIERZ PUBLIC SCHOOL DISTRICT       ,55.0,0181,01,BRAINERD PUBLIC SCHOOL DISTRICT    
16-17,0484-01-000,0480-01-000,0484,01,PIERZ PUBLIC SCHOOL DISTRICT       ,92.0,0480,01,ONAMIA PUBLIC SCHOOL DISTRICT      
16-17,0484-01-000,0482-01-000,0484,01,PIERZ PUBLIC SCHOOL DISTRICT       ,101.0,0482,01,LITTLE FALLS PUBLIC SCHOOL DISTRICT
16-17,0484-01-000,0485-01-000,0484,01,PIERZ PUBLIC SCHOOL DISTRICT       ,25.0,0485,01,ROYALTON PUBLIC SCHOOL DISTRICT    
16-17,0484-01-000,0717-01-000,0484,01,PIERZ PUBLIC SCHOOL DISTRICT       ,1.0,0717,01,JORDAN PUBLIC SCHOOL DISTRICT      
16-17,0484-01-000,0738-01-000,0484,01,PIERZ PUBLIC SCHOOL DISTRICT       ,2.0,0738,01,HOLDINGFORD PUBLIC SCHOOL DISTRICT 
16-17,0484-01-000,0912-01-000,0484,01,PIERZ PUBLIC SCHOOL DISTRICT       ,14.0,0912,01,MILACA PUBLIC SCHOOL DISTRICT      
16-17,0484-01-000,2753-01-000,0484,01,PIERZ PUBLIC SCHOOL DISTRICT       ,3.0,2753,01,LONG PRAIRIE-GREY EAGLE SCHOOL DIST
16-17,0485-01-000,0047-01-000,0485,01,ROYALTON PUBLIC SCHOOL DISTRICT    ,177.0,0047,01,SAUK RAPIDS-RICE PUBLIC SCHOOLS    
16-17,0485-01-000,0051-01-000,0485,01,ROYALTON PUBLIC SCHOOL DISTRICT    ,5.0,0051,01,FOLEY PUBLIC SCHOOL DISTRICT       
16-17,0485-01-000,0482-01-000,0485,01,ROYALTON PUBLIC SCHOOL DISTRICT    ,65.0,0482,01,LITTLE FALLS PUBLIC SCHOOL DISTRICT
16-17,0485-01-000,0484-01-000,0485,01,ROYALTON PUBLIC SCHOOL DISTRICT    ,12.0,0484,01,PIERZ PUBLIC SCHOOL DISTRICT       
16-17,0485-01-000,0487-01-000,0485,01,ROYALTON PUBLIC SCHOOL DISTRICT    ,5.0,0487,01,UPSALA PUBLIC SCHOOL DISTRICT      
16-17,0485-01-000,0738-01-000,0485,01,ROYALTON PUBLIC SCHOOL DISTRICT    ,18.0,0738,01,HOLDINGFORD PUBLIC SCHOOL DISTRICT 
16-17,0485-01-000,0742-01-000,0485,01,ROYALTON PUBLIC SCHOOL DISTRICT    ,5.0,0742,01,ST. CLOUD PUBLIC SCHOOL DISTRICT   
16-17,0485-01-000,0748-01-000,0485,01,ROYALTON PUBLIC SCHOOL DISTRICT    ,4.0,0748,01,SARTELL-ST. STEPHEN SCHOOL DISTRICT
16-17,0486-01-000,0015-01-000,0486,01,SWANVILLE PUBLIC SCHOOL DISTRICT   ,1.0,0015,01,ST. FRANCIS PUBLIC SCHOOL DISTRICT 
16-17,0486-01-000,0196-01-000,0486,01,SWANVILLE PUBLIC SCHOOL DISTRICT   ,1.0,0196,01,ROSEMOUNT-APPLE VALLEY-EAGAN       
16-17,0486-01-000,0482-01-000,0486,01,SWANVILLE PUBLIC SCHOOL DISTRICT   ,26.0,0482,01,LITTLE FALLS PUBLIC SCHOOL DISTRICT
16-17,0486-01-000,0487-01-000,0486,01,SWANVILLE PUBLIC SCHOOL DISTRICT   ,6.0,0487,01,UPSALA PUBLIC SCHOOL DISTRICT      
16-17,0486-01-000,0787-01-000,0486,01,SWANVILLE PUBLIC SCHOOL DISTRICT   ,2.0,0787,01,BROWERVILLE PUBLIC SCHOOL DISTRICT 
16-17,0486-01-000,2753-01-000,0486,01,SWANVILLE PUBLIC SCHOOL DISTRICT   ,45.0,2753,01,LONG PRAIRIE-GREY EAGLE SCHOOL DIST
16-17,0487-01-000,0482-01-000,0487,01,UPSALA PUBLIC SCHOOL DISTRICT      ,20.0,0482,01,LITTLE FALLS PUBLIC SCHOOL DISTRICT
16-17,0487-01-000,0486-01-000,0487,01,UPSALA PUBLIC SCHOOL DISTRICT      ,16.0,0486,01,SWANVILLE PUBLIC SCHOOL DISTRICT   
16-17,0487-01-000,0738-01-000,0487,01,UPSALA PUBLIC SCHOOL DISTRICT      ,10.0,0738,01,HOLDINGFORD PUBLIC SCHOOL DISTRICT 
16-17,0487-01-000,0740-01-000,0487,01,UPSALA PUBLIC SCHOOL DISTRICT      ,10.0,0740,01,MELROSE PUBLIC SCHOOL DISTRICT     
16-17,0487-01-000,0743-01-000,0487,01,UPSALA PUBLIC SCHOOL DISTRICT      ,1.0,0743,01,SAUK CENTRE PUBLIC SCHOOL DISTRICT 
16-17,0487-01-000,0745-01-000,0487,01,UPSALA PUBLIC SCHOOL DISTRICT      ,1.0,0745,01,ALBANY PUBLIC SCHOOL DISTRICT      
16-17,0487-01-000,2753-01-000,0487,01,UPSALA PUBLIC SCHOOL DISTRICT      ,66.0,2753,01,LONG PRAIRIE-GREY EAGLE SCHOOL DIST
16-17,0492-01-000,0196-01-000,0492,01,AUSTIN PUBLIC SCHOOL DISTRICT      ,1.0,0196,01,ROSEMOUNT-APPLE VALLEY-EAGAN       
16-17,0492-01-000,0203-01-000,0492,01,AUSTIN PUBLIC SCHOOL DISTRICT      ,23.0,0203,01,HAYFIELD PUBLIC SCHOOL DISTRICT    
16-17,0492-01-000,0241-01-000,0492,01,AUSTIN PUBLIC SCHOOL DISTRICT      ,21.0,0241,01,ALBERT LEA PUBLIC SCHOOL DISTRICT  
16-17,0492-01-000,0497-01-000,0492,01,AUSTIN PUBLIC SCHOOL DISTRICT      ,24.0,0497,01,LYLE PUBLIC SCHOOL DISTRICT        
16-17,0492-01-000,0500-01-000,0492,01,AUSTIN PUBLIC SCHOOL DISTRICT      ,14.0,0500,01,SOUTHLAND PUBLIC SCHOOL DISTRICT   
16-17,0492-01-000,0535-01-000,0492,01,AUSTIN PUBLIC SCHOOL DISTRICT      ,2.0,0535,01,ROCHESTER PUBLIC SCHOOL DISTRICT   
16-17,0492-01-000,0756-01-000,0492,01,AUSTIN PUBLIC SCHOOL DISTRICT      ,10.0,0756,01,BLOOMING PRAIRIE PUBLIC SCHOOL DIST
16-17,0492-01-000,2886-01-000,0492,01,AUSTIN PUBLIC SCHOOL DISTRICT      ,16.0,2886,01,GLENVILLE-EMMONS SCHOOL DISTRICT   
16-17,0495-01-000,0203-01-000,0495,01,GRAND MEADOW PUBLIC SCHOOL DISTRICT,1.0,0203,01,HAYFIELD PUBLIC SCHOOL DISTRICT    
16-17,0495-01-000,0492-01-000,0495,01,GRAND MEADOW PUBLIC SCHOOL DISTRICT,3.0,0492,01,AUSTIN PUBLIC SCHOOL DISTRICT      
16-17,0495-01-000,0499-01-000,0495,01,GRAND MEADOW PUBLIC SCHOOL DISTRICT,5.0,0499,01,LEROY-OSTRANDER PUBLIC SCHOOLS     
16-17,0495-01-000,0500-01-000,0495,01,GRAND MEADOW PUBLIC SCHOOL DISTRICT,34.0,0500,01,SOUTHLAND PUBLIC SCHOOL DISTRICT   
16-17,0495-01-000,0534-01-000,0495,01,GRAND MEADOW PUBLIC SCHOOL DISTRICT,3.0,0534,01,STEWARTVILLE PUBLIC SCHOOL DISTRICT
16-17,0495-01-000,2137-01-000,0495,01,GRAND MEADOW PUBLIC SCHOOL DISTRICT,8.0,2137,01,KINGSLAND PUBLIC SCHOOL DISTRICT   
16-17,0497-01-000,0241-01-000,0497,01,LYLE PUBLIC SCHOOL DISTRICT        ,2.0,0241,01,ALBERT LEA PUBLIC SCHOOL DISTRICT  
16-17,0497-01-000,0492-01-000,0497,01,LYLE PUBLIC SCHOOL DISTRICT        ,135.0,0492,01,AUSTIN PUBLIC SCHOOL DISTRICT      
16-17,0497-01-000,0500-01-000,0497,01,LYLE PUBLIC SCHOOL DISTRICT        ,2.0,0500,01,SOUTHLAND PUBLIC SCHOOL DISTRICT   
16-17,0497-01-000,0535-01-000,0497,01,LYLE PUBLIC SCHOOL DISTRICT        ,1.0,0535,01,ROCHESTER PUBLIC SCHOOL DISTRICT   
16-17,0497-01-000,2886-01-000,0497,01,LYLE PUBLIC SCHOOL DISTRICT        ,4.0,2886,01,GLENVILLE-EMMONS SCHOOL DISTRICT   
16-17,0499-01-000,0500-01-000,0499,01,LEROY-OSTRANDER PUBLIC SCHOOLS     ,3.0,0500,01,SOUTHLAND PUBLIC SCHOOL DISTRICT   
16-17,0499-01-000,2137-01-000,0499,01,LEROY-OSTRANDER PUBLIC SCHOOLS     ,10.0,2137,01,KINGSLAND PUBLIC SCHOOL DISTRICT   
16-17,0500-01-000,0203-01-000,0500,01,SOUTHLAND PUBLIC SCHOOL DISTRICT   ,9.0,0203,01,HAYFIELD PUBLIC SCHOOL DISTRICT    
16-17,0500-01-000,0492-01-000,0500,01,SOUTHLAND PUBLIC SCHOOL DISTRICT   ,15.0,0492,01,AUSTIN PUBLIC SCHOOL DISTRICT      
16-17,0500-01-000,0495-01-000,0500,01,SOUTHLAND PUBLIC SCHOOL DISTRICT   ,1.0,0495,01,GRAND MEADOW PUBLIC SCHOOL DISTRICT
16-17,0500-01-000,0497-01-000,0500,01,SOUTHLAND PUBLIC SCHOOL DISTRICT   ,8.0,0497,01,LYLE PUBLIC SCHOOL DISTRICT        
16-17,0500-01-000,0499-01-000,0500,01,SOUTHLAND PUBLIC SCHOOL DISTRICT   ,6.0,0499,01,LEROY-OSTRANDER PUBLIC SCHOOLS     
16-17,0505-01-000,0518-01-000,0505,01,FULDA PUBLIC SCHOOL DISTRICT       ,13.0,0518,01,WORTHINGTON PUBLIC SCHOOL DISTRICT 
16-17,0505-01-000,2169-01-000,0505,01,FULDA PUBLIC SCHOOL DISTRICT       ,9.0,2169,01,MURRAY COUNTY CENTRAL SCHOOL DIST. 
16-17,0505-01-000,2898-01-000,0505,01,FULDA PUBLIC SCHOOL DISTRICT       ,3.0,2898,01,WESTBROOK-WALNUT GROVE SCHOOLS     
16-17,0505-01-000,2907-01-000,0505,01,FULDA PUBLIC SCHOOL DISTRICT       ,1.0,2907,01,ROUND LAKE-BREWSTER PUBLIC SCHOOLS 
16-17,0507-01-000,0077-01-000,0507,01,NICOLLET PUBLIC SCHOOL DISTRICT    ,15.0,0077,01,MANKATO PUBLIC SCHOOL DISTRICT     
16-17,0507-01-000,0088-01-000,0507,01,NICOLLET PUBLIC SCHOOL DISTRICT    ,34.0,0088,01,NEW ULM PUBLIC SCHOOL DISTRICT     
16-17,0507-01-000,0508-01-000,0507,01,NICOLLET PUBLIC SCHOOL DISTRICT    ,12.0,0508,01,ST. PETER PUBLIC SCHOOL DISTRICT   
16-17,0507-01-000,2071-01-000,0507,01,NICOLLET PUBLIC SCHOOL DISTRICT    ,15.0,2071,01,LAKE CRYSTAL-WELLCOME MEMORIAL     
16-17,0507-01-000,2310-01-000,0507,01,NICOLLET PUBLIC SCHOOL DISTRICT    ,5.0,2310,01,SIBLEY EAST SCHOOL DISTRICT        
16-17,0507-01-000,2365-01-000,0507,01,NICOLLET PUBLIC SCHOOL DISTRICT    ,3.0,2365,01,G.F.W.                             
16-17,0508-01-000,0077-01-000,0508,01,ST. PETER PUBLIC SCHOOL DISTRICT   ,16.0,0077,01,MANKATO PUBLIC SCHOOL DISTRICT     
16-17,0508-01-000,0088-01-000,0508,01,ST. PETER PUBLIC SCHOOL DISTRICT   ,1.0,0088,01,NEW ULM PUBLIC SCHOOL DISTRICT     
16-17,0508-01-000,0391-01-000,0508,01,ST. PETER PUBLIC SCHOOL DISTRICT   ,25.0,0391,01,CLEVELAND PUBLIC SCHOOL DISTRICT   
16-17,0508-01-000,0507-01-000,0508,01,ST. PETER PUBLIC SCHOOL DISTRICT   ,17.0,0507,01,NICOLLET PUBLIC SCHOOL DISTRICT    
16-17,0508-01-000,0837-01-000,0508,01,ST. PETER PUBLIC SCHOOL DISTRICT   ,2.0,0837,01,MADELIA PUBLIC SCHOOL DISTRICT     
16-17,0508-01-000,2310-01-000,0508,01,ST. PETER PUBLIC SCHOOL DISTRICT   ,2.0,2310,01,SIBLEY EAST SCHOOL DISTRICT        
16-17,0508-01-000,2397-01-000,0508,01,ST. PETER PUBLIC SCHOOL DISTRICT   ,26.0,2397,01,LE SUEUR-HENDERSON SCHOOL DISTRICT 
16-17,0508-01-000,2835-01-000,0508,01,ST. PETER PUBLIC SCHOOL DISTRICT   ,1.0,2835,01,JANESVILLE-WALDORF-PEMBERTON       
16-17,0508-01-000,2905-01-000,0508,01,ST. PETER PUBLIC SCHOOL DISTRICT   ,7.0,2905,01,TRI-CITY UNITED SCHOOL DISTRICT    
16-17,0511-01-000,0505-01-000,0511,01,ADRIAN PUBLIC SCHOOL DISTRICT      ,1.0,0505,01,FULDA PUBLIC SCHOOL DISTRICT       
16-17,0511-01-000,0514-01-000,0511,01,ADRIAN PUBLIC SCHOOL DISTRICT      ,15.0,0514,01,ELLSWORTH PUBLIC SCHOOL DISTRICT   
16-17,0511-01-000,0518-01-000,0511,01,ADRIAN PUBLIC SCHOOL DISTRICT      ,147.0,0518,01,WORTHINGTON PUBLIC SCHOOL DISTRICT 
16-17,0511-01-000,2184-01-000,0511,01,ADRIAN PUBLIC SCHOOL DISTRICT      ,15.0,2184,01,LUVERNE PUBLIC SCHOOL DISTRICT     
16-17,0511-01-000,2907-01-000,0511,01,ADRIAN PUBLIC SCHOOL DISTRICT      ,1.0,2907,01,ROUND LAKE-BREWSTER PUBLIC SCHOOLS 
16-17,0514-01-000,0511-01-000,0514,01,ELLSWORTH PUBLIC SCHOOL DISTRICT   ,9.0,0511,01,ADRIAN PUBLIC SCHOOL DISTRICT      
16-17,0514-01-000,0518-01-000,0514,01,ELLSWORTH PUBLIC SCHOOL DISTRICT   ,5.0,0518,01,WORTHINGTON PUBLIC SCHOOL DISTRICT 
16-17,0514-01-000,0581-01-000,0514,01,ELLSWORTH PUBLIC SCHOOL DISTRICT   ,3.0,0581,01,EDGERTON PUBLIC SCHOOL DISTRICT    
16-17,0514-01-000,0671-01-000,0514,01,ELLSWORTH PUBLIC SCHOOL DISTRICT   ,1.0,0671,01,HILLS-BEAVER CREEK SCHOOL DISTRICT 
16-17,0514-01-000,2184-01-000,0514,01,ELLSWORTH PUBLIC SCHOOL DISTRICT   ,17.0,2184,01,LUVERNE PUBLIC SCHOOL DISTRICT     
16-17,0518-01-000,0001-03-000,0518,01,WORTHINGTON PUBLIC SCHOOL DISTRICT ,7.0,0001,03,Minneapolis Public School District 
16-17,0518-01-000,0011-01-000,0518,01,WORTHINGTON PUBLIC SCHOOL DISTRICT ,17.0,0011,01,ANOKA-HENNEPIN PUBLIC SCHOOL DIST. 
16-17,0518-01-000,0012-01-000,0518,01,WORTHINGTON PUBLIC SCHOOL DISTRICT ,2.0,0012,01,CENTENNIAL PUBLIC SCHOOL DISTRICT  
16-17,0518-01-000,0014-01-000,0518,01,WORTHINGTON PUBLIC SCHOOL DISTRICT ,1.0,0014,01,FRIDLEY PUBLIC SCHOOL DISTRICT     
16-17,0518-01-000,0015-01-000,0518,01,WORTHINGTON PUBLIC SCHOOL DISTRICT ,3.0,0015,01,ST. FRANCIS PUBLIC SCHOOL DISTRICT 
16-17,0518-01-000,0075-01-000,0518,01,WORTHINGTON PUBLIC SCHOOL DISTRICT ,2.0,0075,01,ST. CLAIR PUBLIC SCHOOL DISTRICT   
16-17,0518-01-000,0077-01-000,0518,01,WORTHINGTON PUBLIC SCHOOL DISTRICT ,12.0,0077,01,MANKATO PUBLIC SCHOOL DISTRICT     
16-17,0518-01-000,0152-01-000,0518,01,WORTHINGTON PUBLIC SCHOOL DISTRICT ,2.0,0152,01,MOORHEAD PUBLIC SCHOOL DISTRICT    
16-17,0518-01-000,0177-01-000,0518,01,WORTHINGTON PUBLIC SCHOOL DISTRICT ,2.0,0177,01,WINDOM PUBLIC SCHOOL DISTRICT      
16-17,0518-01-000,0194-01-000,0518,01,WORTHINGTON PUBLIC SCHOOL DISTRICT ,1.0,0194,01,LAKEVILLE PUBLIC SCHOOL DISTRICT   
16-17,0518-01-000,0196-01-000,0518,01,WORTHINGTON PUBLIC SCHOOL DISTRICT ,4.0,0196,01,ROSEMOUNT-APPLE VALLEY-EAGAN       
16-17,0518-01-000,0199-01-000,0518,01,WORTHINGTON PUBLIC SCHOOL DISTRICT ,2.0,0199,01,INVER GROVE HEIGHTS SCHOOLS        
16-17,0518-01-000,0200-01-000,0518,01,WORTHINGTON PUBLIC SCHOOL DISTRICT ,2.0,0200,01,HASTINGS PUBLIC SCHOOL DISTRICT    
16-17,0518-01-000,0241-01-000,0518,01,WORTHINGTON PUBLIC SCHOOL DISTRICT ,3.0,0241,01,ALBERT LEA PUBLIC SCHOOL DISTRICT  
16-17,0518-01-000,0271-01-000,0518,01,WORTHINGTON PUBLIC SCHOOL DISTRICT ,3.0,0271,01,BLOOMINGTON PUBLIC SCHOOL DISTRICT 
16-17,0518-01-000,0279-01-000,0518,01,WORTHINGTON PUBLIC SCHOOL DISTRICT ,10.0,0279,01,OSSEO PUBLIC SCHOOL DISTRICT       
16-17,0518-01-000,0280-01-000,0518,01,WORTHINGTON PUBLIC SCHOOL DISTRICT ,8.0,0280,01,RICHFIELD PUBLIC SCHOOL DISTRICT   
16-17,0518-01-000,0281-01-000,0518,01,WORTHINGTON PUBLIC SCHOOL DISTRICT ,7.0,0281,01,ROBBINSDALE PUBLIC SCHOOL DISTRICT 
16-17,0518-01-000,0282-01-000,0518,01,WORTHINGTON PUBLIC SCHOOL DISTRICT ,2.0,0282,01,ST. ANTHONY-NEW BRIGHTON SCHOOLS   
16-17,0518-01-000,0284-01-000,0518,01,WORTHINGTON PUBLIC SCHOOL DISTRICT ,3.0,0284,01,WAYZATA PUBLIC SCHOOL DISTRICT     
16-17,0518-01-000,0330-01-000,0518,01,WORTHINGTON PUBLIC SCHOOL DISTRICT ,4.0,0330,01,HERON LAKE-OKABENA SCHOOL DISTRICT 
16-17,0518-01-000,0361-01-000,0518,01,WORTHINGTON PUBLIC SCHOOL DISTRICT ,4.0,0361,01,INTERNATIONAL FALLS SCHOOL DISTRICT
16-17,0518-01-000,0505-01-000,0518,01,WORTHINGTON PUBLIC SCHOOL DISTRICT ,20.0,0505,01,FULDA PUBLIC SCHOOL DISTRICT       
16-17,0518-01-000,0508-01-000,0518,01,WORTHINGTON PUBLIC SCHOOL DISTRICT ,3.0,0508,01,ST. PETER PUBLIC SCHOOL DISTRICT   
16-17,0518-01-000,0511-01-000,0518,01,WORTHINGTON PUBLIC SCHOOL DISTRICT ,11.0,0511,01,ADRIAN PUBLIC SCHOOL DISTRICT      
16-17,0518-01-000,0514-01-000,0518,01,WORTHINGTON PUBLIC SCHOOL DISTRICT ,2.0,0514,01,ELLSWORTH PUBLIC SCHOOL DISTRICT   
16-17,0518-01-000,0535-01-000,0518,01,WORTHINGTON PUBLIC SCHOOL DISTRICT ,3.0,0535,01,ROCHESTER PUBLIC SCHOOL DISTRICT   
16-17,0518-01-000,0621-01-000,0518,01,WORTHINGTON PUBLIC SCHOOL DISTRICT ,6.0,0621,01,MOUNDS VIEW PUBLIC SCHOOL DISTRICT 
16-17,0518-01-000,0622-01-000,0518,01,WORTHINGTON PUBLIC SCHOOL DISTRICT ,1.0,0622,01,NORTH ST PAUL-MAPLEWOOD OAKDALE DIS
16-17,0518-01-000,0623-01-000,0518,01,WORTHINGTON PUBLIC SCHOOL DISTRICT ,3.0,0623,01,ROSEVILLE PUBLIC SCHOOL DISTRICT   
16-17,0518-01-000,0625-01-000,0518,01,WORTHINGTON PUBLIC SCHOOL DISTRICT ,1.0,0625,01,ST. PAUL PUBLIC SCHOOL DISTRICT    
16-17,0518-01-000,0719-01-000,0518,01,WORTHINGTON PUBLIC SCHOOL DISTRICT ,1.0,0719,01,PRIOR LAKE-SAVAGE AREA SCHOOLS     
16-17,0518-01-000,0727-01-000,0518,01,WORTHINGTON PUBLIC SCHOOL DISTRICT ,2.0,0727,01,BIG LAKE PUBLIC SCHOOL DISTRICT    
16-17,0518-01-000,0728-01-000,0518,01,WORTHINGTON PUBLIC SCHOOL DISTRICT ,13.0,0728,01,ELK RIVER PUBLIC SCHOOL DISTRICT   
16-17,0518-01-000,0742-01-000,0518,01,WORTHINGTON PUBLIC SCHOOL DISTRICT ,1.0,0742,01,ST. CLOUD PUBLIC SCHOOL DISTRICT   
16-17,0518-01-000,0831-01-000,0518,01,WORTHINGTON PUBLIC SCHOOL DISTRICT ,9.0,0831,01,FOREST LAKE PUBLIC SCHOOL DISTRICT 
16-17,0518-01-000,0832-01-000,0518,01,WORTHINGTON PUBLIC SCHOOL DISTRICT ,3.0,0832,01,MAHTOMEDI PUBLIC SCHOOL DISTRICT   
16-17,0518-01-000,0833-01-000,0518,01,WORTHINGTON PUBLIC SCHOOL DISTRICT ,4.0,0833,01,SOUTH WASHINGTON COUNTY SCHOOL DIST
16-17,0518-01-000,0882-01-000,0518,01,WORTHINGTON PUBLIC SCHOOL DISTRICT ,1.0,0882,01,MONTICELLO PUBLIC SCHOOL DISTRICT  
16-17,0518-01-000,0885-01-000,0518,01,WORTHINGTON PUBLIC SCHOOL DISTRICT ,4.0,0885,01,ST. MICHAEL-ALBERTVILLE SCHOOL DIST
16-17,0518-01-000,2134-01-000,0518,01,WORTHINGTON PUBLIC SCHOOL DISTRICT ,4.0,2134,01,UNITED SOUTH CENTRAL SCHOOL DIST.  
16-17,0518-01-000,2135-01-000,0518,01,WORTHINGTON PUBLIC SCHOOL DISTRICT ,1.0,2135,01,MAPLE RIVER SCHOOL DISTRICT        
16-17,0518-01-000,2144-01-000,0518,01,WORTHINGTON PUBLIC SCHOOL DISTRICT ,1.0,2144,01,CHISAGO LAKES SCHOOL DISTRICT      
